459,what's one of your most memorable experiences,141.743,179.506,4819.5,160.616666667,0.97578254321,1.0,51.8511432099,-45.969503351,637.602630511,0.32280037037,-0.0962618278554,-0.101403111489
459,tell me about your relationship with your family,368.889,405.71,11620.0,387.3,0.970237375566,1.0,91.77948181,-45.8528559276,628.544854299,0.274422546606,-0.14043879458,0.000627316107149
459,have you ever been diagnosed with p_t_s_d,611.242,615.52,18402.5,613.383330769,0.965225215385,1.0,96.3922323077,-36.8693730769,621.751730769,0.364073907692,0.105834495385,-0.0774656853846
459,is there anything you regret,794.916,801.44,23946.0,798.166664975,0.974387893401,1.0,113.850284264,-49.1679862944,632.738614213,0.237883040609,-0.0288130514213,-0.112240345178
459,have you been diagnosed with depression,615.252,657.67,19095.0,636.466666929,0.967802879811,1.0,101.65864729,-44.5420838178,623.918155538,0.281824021367,0.0370567845577,-0.0514941900189
459,how have you been feeling lately,580.615,593.38,17610.5,586.983333333,0.965360632813,1.0,126.265114583,-42.1546166667,630.51846875,0.313896645833,-0.132184382813,0.0890762416667
456,is there anything you regret,778.427,783.1,23424.0,780.766666667,0.883265198582,1.0,109.863439716,12.0542185106,676.525234043,0.238009028369,0.234346503546,0.0152448420567
456,tell me about your relationship with your family,564.179,583.617,17218.0,573.9,0.940547859829,1.0,133.726224274,5.23142300607,682.096064957,0.179047844282,0.144402245041,-0.103229941309
456,have you ever been diagnosed with p_t_s_d,674.013,677.04,20266.5,675.516663043,0.919913434783,1.0,112.133076087,12.0094488043,675.418684783,0.239244543478,0.200851913043,-0.00331504934783
456,what's one of your most memorable experiences,244.978,290.715,8036.0,267.833333576,0.953539281136,1.0,121.662273853,3.1556685473,683.055120175,0.10443400575,0.127682482251,-0.0868669644494
456,how have you been feeling lately,638.739,642.36,19217.5,640.55,0.928882345455,1.0,118.101209091,11.8956916173,675.902327273,0.23514508,0.169334009091,0.00297649068182
456,have you been diagnosed with depression,677.662,680.26,20370.0,678.966670886,0.906909835443,1.0,109.768620253,11.8413082278,663.647721519,0.266341265823,0.199660278481,-0.0398890751899
457,what are you most proud of in your life,880.546,901.86,26737.0,891.2,0.969468188768,1.0,89.3782912637,-60.0649216849,586.473226209,0.220944070203,0.0358334635928,-0.00726435743354
457,tell me about your relationship with your family,515.807,542.744,15879.0,529.266666255,0.970311527812,1.0,81.6595693449,-50.0173498146,569.935777503,0.229887656737,0.100111981553,-0.15900946267
457,is there anything you regret,902.523,905.74,27125.0,904.133329897,0.970461670103,1.0,89.4240865979,-63.6011278351,585.026896907,0.190117896907,0.0343436746392,-0.0175772609536
457,have you ever been diagnosed with p_t_s_d,737.028,742.01,22186.5,739.516666667,0.9674014,1.0,92.927408,-56.7248326667,589.47606,0.229734566667,0.05520355,0.0145068482342
